注册时间,注册资本,行业,区域,企业类型,控制人类型,控制人持股比例
2004,580,商业服务业,江西,有限责任公司,自然人,0.58
2009,3150,工业,江西,农民专业合作社,企业法人,0.62
2011,6160,零售业,广东,农民专业合作社,企业法人,0.68
2009,2980,工业,广西,集体所有制企业,自然人,0.72
2005,2290,交通运输业,广西,有限责任公司,企业法人,0.88
2012,2500,商业服务业,福建,股份有限公司,企业法人,0.58
2001,4810,社区服务,山东,农民专业合作社,企业法人,0.81
2013,7040,零售业,广西,股份有限公司,企业法人,0.72
2001,4430,商业服务业,湖北,集体所有制企业,自然人,0.66
2004,5480,商业服务业,广东,集体所有制企业,自然人,0.54
2010,8400,社区服务,江西,合伙企业,自然人,0.53
2011,680,商业服务业,江西,有限责任公司,企业法人,0.99
2000,5110,社区服务,广东,有限责任公司,企业法人,0.95
2012,7510,工业,NA,集体所有制企业,企业法人,0.56
2007,5710,工业,江西,有限责任公司,企业法人,0.63
2011,9780,服务业,广西,集体所有制企业,企业法人,0.63
2004,3920,工业,NA,合伙企业,自然人,0.78
2002,6050,零售业,广西,股份有限公司,企业法人,0.7
2001,2880,社区服务,湖南,农民专业合作社,自然人,0.8
2009,9190,社区服务,山东,农民专业合作社,企业法人,0.88
2005,NA,交通运输业,山东,合伙企业,企业法人,0.62
2008,530,交通运输业,湖北,股份有限公司,企业法人,0.71
2004,7300,社区服务,江西,集体所有制企业,自然人,0.54
2011,7990,工业,江西,合伙企业,企业法人,0.85
2007,3530,商业服务业,江西,集体所有制企业,企业法人,0.52
2004,3020,零售业,福建,农民专业合作社,企业法人,1
2006,7500,交通运输业,江西,有限责任公司,企业法人,0.67
2011,4940,商业服务业,湖南,集体所有制企业,自然人,NA
2000,6700,商业服务业,广西,有限责任公司,企业法人,0.9
2014,2870,工业,广东,集体所有制企业,企业法人,0.85
2001,230,工业,江西,农民专业合作社,企业法人,NA
2014,4090,服务业,湖北,集体所有制企业,自然人,0.98
2007,2420,工业,山东,农民专业合作社,企业法人,0.93
2011,2150,服务业,广西,股份有限公司,企业法人,0.91
2014,7790,交通运输业,NA,有限责任公司,企业法人,0.84
2006,9440,服务业,山东,农民专业合作社,企业法人,0.8
2008,1420,社区服务,湖南,合伙企业,企业法人,0.51
2013,5760,服务业,湖南,NA,企业法人,0.77
2004,5620,工业,湖北,集体所有制企业,自然人,0.52
2006,1840,零售业,广东,农民专业合作社,企业法人,0.7
2001,2830,服务业,江西,合伙企业,企业法人,0.73
2005,4290,服务业,湖北,合伙企业,自然人,0.77
2011,8650,交通运输业,江西,合伙企业,企业法人,0.57
2006,7040,商业服务业,江西,合伙企业,企业法人,0.63
2004,9270,服务业,广东,农民专业合作社,企业法人,0.52
2004,3640,社区服务,湖南,农民专业合作社,企业法人,0.75
2010,4480,社区服务,江西,农民专业合作社,自然人,0.6
2012,9770,商业服务业,福建,股份有限公司,企业法人,0.63
2005,9660,商业服务业,湖南,集体所有制企业,自然人,0.64
2012,5160,服务业,江西,有限责任公司,企业法人,0.71
2005,7190,交通运输业,广西,股份有限公司,自然人,0.99
2014,8520,商业服务业,江西,有限责任公司,自然人,0.62
2002,6340,NA,山东,集体所有制企业,企业法人,0.82
2003,4370,服务业,广东,集体所有制企业,自然人,0.68
2004,5320,商业服务业,山东,农民专业合作社,企业法人,0.52
2010,8290,工业,福建,集体所有制企业,企业法人,0.93
2010,8990,工业,湖北,合伙企业,自然人,0.85
2007,2200,服务业,山东,股份有限公司,自然人,0.76
2002,6930,商业服务业,山东,合伙企业,企业法人,0.92
2005,8980,交通运输业,广东,有限责任公司,自然人,0.72
2009,9360,服务业,江西,股份有限公司,自然人,0.67
2004,720,零售业,湖北,合伙企业,企业法人,0.59
2002,5210,交通运输业,湖北,合伙企业,企业法人,0.59
2013,6990,商业服务业,江西,有限责任公司,企业法人,0.72
2007,6120,工业,广东,农民专业合作社,自然人,0.67
2003,7480,零售业,广西,合伙企业,企业法人,0.72
2000,4260,工业,湖南,合伙企业,自然人,0.67
2009,7330,工业,福建,合伙企业,企业法人,0.69
2001,7230,商业服务业,湖南,农民专业合作社,自然人,0.97
2006,1970,商业服务业,广东,股份有限公司,企业法人,0.7
2004,4820,社区服务,广西,合伙企业,企业法人,0.89
2013,2730,工业,广东,合伙企业,企业法人,0.61
2002,4880,商业服务业,福建,农民专业合作社,企业法人,0.51
2004,4130,交通运输业,湖北,有限责任公司,企业法人,0.72
2004,3120,工业,广东,有限责任公司,自然人,0.72
2001,1290,商业服务业,福建,有限责任公司,自然人,0.73
2003,6850,工业,福建,合伙企业,自然人,0.73
2005,8620,工业,福建,农民专业合作社,自然人,0.57
2000,8800,社区服务,湖南,集体所有制企业,自然人,0.63
2003,3370,社区服务,湖北,集体所有制企业,企业法人,0.89
2009,2100,商业服务业,湖南,有限责任公司,自然人,NA
2001,5390,社区服务,广西,有限责任公司,自然人,0.82
2012,450,工业,江西,有限责任公司,企业法人,0.97
2001,5450,交通运输业,广东,股份有限公司,自然人,0.87
2008,2790,商业服务业,山东,农民专业合作社,自然人,0.84
2001,3010,交通运输业,湖南,股份有限公司,自然人,0.65
2005,2190,社区服务,福建,合伙企业,自然人,0.88
2010,9030,服务业,湖南,有限责任公司,企业法人,0.68
2004,6020,社区服务,山东,合伙企业,自然人,0.6
2008,1550,商业服务业,广东,合伙企业,企业法人,0.68
2007,2070,零售业,湖南,集体所有制企业,自然人,0.74
2008,910,零售业,江西,农民专业合作社,企业法人,0.8
2000,100,零售业,福建,农民专业合作社,企业法人,0.77
2009,4720,零售业,江西,股份有限公司,自然人,0.62
2010,7120,交通运输业,广西,农民专业合作社,自然人,0.59
2005,1880,零售业,福建,有限责任公司,自然人,0.62
2014,4940,交通运输业,湖南,股份有限公司,企业法人,0.53
2008,640,服务业,广西,有限责任公司,自然人,0.72
2002,8450,社区服务,广东,农民专业合作社,自然人,0.59
2013,8780,服务业,湖北,有限责任公司,自然人,0.59
2002,3920,交通运输业,福建,股份有限公司,企业法人,0.81
2011,8860,社区服务,NA,集体所有制企业,企业法人,0.86
2011,5710,工业,福建,有限责任公司,自然人,0.56
2005,8970,工业,NA,合伙企业,企业法人,0.67
2001,2360,交通运输业,山东,股份有限公司,自然人,0.81
2002,5190,商业服务业,山东,合伙企业,自然人,0.64
2011,9790,服务业,福建,合伙企业,自然人,0.79
2013,9110,零售业,江西,股份有限公司,自然人,0.63
2001,2100,零售业,广东,集体所有制企业,企业法人,0.6
2002,7750,零售业,山东,股份有限公司,自然人,0.9
2002,7910,工业,湖南,有限责任公司,企业法人,0.73
2014,8580,社区服务,湖南,合伙企业,企业法人,0.52
2010,4690,工业,江西,农民专业合作社,企业法人,0.73
2007,1880,交通运输业,广东,农民专业合作社,企业法人,0.53
2007,9250,服务业,湖南,有限责任公司,自然人,0.86
2001,2600,社区服务,湖南,集体所有制企业,自然人,0.51
2007,8470,零售业,江西,股份有限公司,自然人,0.51
2006,8170,服务业,湖北,集体所有制企业,企业法人,0.62
2001,2170,服务业,湖北,合伙企业,企业法人,0.7
2010,4070,社区服务,湖北,股份有限公司,企业法人,0.69
2002,8870,零售业,江西,合伙企业,企业法人,0.98
2002,380,工业,广东,农民专业合作社,企业法人,0.8
2012,4850,零售业,湖北,股份有限公司,自然人,0.78
2004,3410,交通运输业,湖南,农民专业合作社,企业法人,0.59
2000,780,商业服务业,湖北,合伙企业,自然人,0.84
2001,5860,零售业,山东,农民专业合作社,企业法人,0.65
2000,7070,服务业,广东,农民专业合作社,自然人,0.84
2013,1030,工业,广西,农民专业合作社,自然人,0.73
2002,1630,服务业,山东,股份有限公司,企业法人,0.57
2000,8170,服务业,广西,有限责任公司,企业法人,0.95
2013,760,工业,湖北,股份有限公司,自然人,0.93
2009,8350,社区服务,湖南,股份有限公司,自然人,0.63
2009,4740,商业服务业,山东,有限责任公司,自然人,0.57
2008,4810,交通运输业,广西,农民专业合作社,企业法人,0.61
2001,9210,交通运输业,湖北,股份有限公司,企业法人,0.61
2004,260,服务业,湖北,股份有限公司,自然人,0.89
2014,2900,交通运输业,江西,农民专业合作社,自然人,0.59
2011,8970,交通运输业,广西,集体所有制企业,企业法人,0.88
2003,3850,商业服务业,湖南,集体所有制企业,自然人,0.98
2007,5600,社区服务,广西,集体所有制企业,企业法人,0.56
2011,7210,社区服务,湖南,农民专业合作社,自然人,0.94
2001,3150,商业服务业,福建,有限责任公司,自然人,0.98
2004,8590,社区服务,福建,有限责任公司,自然人,0.91
2013,6850,商业服务业,湖北,股份有限公司,自然人,0.9
2014,880,服务业,湖北,股份有限公司,企业法人,0.52
2009,4720,工业,福建,合伙企业,企业法人,0.88
2006,6560,商业服务业,江西,集体所有制企业,企业法人,0.93
2013,9590,工业,福建,合伙企业,企业法人,0.65
2005,250,工业,广东,农民专业合作社,企业法人,1
2005,5460,工业,广东,股份有限公司,自然人,0.98
2013,5200,交通运输业,江西,农民专业合作社,企业法人,0.51
2006,7650,商业服务业,广西,集体所有制企业,自然人,0.66
2001,8360,零售业,广西,股份有限公司,企业法人,0.89
2013,6460,商业服务业,湖南,股份有限公司,企业法人,0.93
2007,9090,服务业,广东,农民专业合作社,企业法人,0.57
2012,1020,商业服务业,江西,集体所有制企业,企业法人,0.78
2000,5540,服务业,湖南,农民专业合作社,自然人,0.68
2010,7140,商业服务业,山东,有限责任公司,企业法人,0.97
2000,5210,零售业,广西,集体所有制企业,自然人,0.52
2001,2580,服务业,山东,农民专业合作社,企业法人,0.51
2008,1320,社区服务,福建,农民专业合作社,企业法人,0.84
2014,1790,社区服务,江西,有限责任公司,自然人,0.91
2006,2200,商业服务业,广东,有限责任公司,自然人,0.83
2003,110,工业,湖北,农民专业合作社,企业法人,0.72
2004,2740,社区服务,江西,NA,自然人,0.53
2010,1890,社区服务,江西,农民专业合作社,企业法人,0.75
2011,6830,工业,湖北,农民专业合作社,自然人,0.55
2007,4160,零售业,湖南,股份有限公司,企业法人,0.67
2002,5950,商业服务业,山东,有限责任公司,自然人,0.62
2003,4190,零售业,山东,合伙企业,企业法人,0.61
2001,1840,服务业,广东,有限责任公司,企业法人,0.54
2000,8060,工业,广西,集体所有制企业,自然人,0.94
2002,7240,商业服务业,湖北,合伙企业,自然人,0.9
2010,7480,交通运输业,广东,股份有限公司,自然人,0.71
2000,5450,商业服务业,广东,合伙企业,自然人,0.8
2000,7140,零售业,湖北,有限责任公司,企业法人,0.67
2003,2350,社区服务,湖南,合伙企业,自然人,0.79
2005,2080,交通运输业,江西,集体所有制企业,自然人,0.86
2002,8570,商业服务业,湖北,农民专业合作社,企业法人,0.94
NA,1440,商业服务业,福建,有限责任公司,企业法人,0.95
2005,1290,交通运输业,山东,集体所有制企业,企业法人,0.72
NA,3430,社区服务,广东,股份有限公司,自然人,0.64
2014,1170,工业,湖北,有限责任公司,自然人,0.85
2001,5210,NA,山东,有限责任公司,企业法人,0.83
2005,7640,服务业,广东,有限责任公司,企业法人,0.73
2000,8880,零售业,山东,集体所有制企业,企业法人,0.78
2001,4710,工业,山东,合伙企业,自然人,0.68
2009,4150,商业服务业,江西,有限责任公司,企业法人,0.78
2011,9250,商业服务业,广东,股份有限公司,自然人,0.6
2013,6840,社区服务,广西,股份有限公司,自然人,0.93
2011,1880,交通运输业,江西,有限责任公司,自然人,0.7
2008,6440,工业,广西,集体所有制企业,自然人,0.8
2008,7890,工业,山东,有限责任公司,企业法人,0.73
2005,2260,工业,广西,有限责任公司,自然人,0.82
2007,1290,社区服务,山东,有限责任公司,自然人,0.96
2014,2040,服务业,山东,集体所有制企业,企业法人,0.55
2003,4700,零售业,广西,集体所有制企业,自然人,0.63
2011,2250,零售业,江西,有限责任公司,自然人,0.78
2008,6140,零售业,山东,农民专业合作社,自然人,0.54
2010,5580,服务业,福建,有限责任公司,NA,0.77
2000,3400,零售业,湖南,股份有限公司,自然人,0.83
2007,1750,商业服务业,湖北,有限责任公司,自然人,0.64
2001,980,社区服务,山东,有限责任公司,企业法人,0.76
2006,3280,社区服务,福建,合伙企业,企业法人,0.91
2003,6650,社区服务,山东,农民专业合作社,企业法人,0.68
2001,8740,交通运输业,广西,集体所有制企业,企业法人,0.96
2004,2150,交通运输业,湖南,集体所有制企业,自然人,0.92
2012,1700,商业服务业,江西,股份有限公司,企业法人,0.86
2001,5640,商业服务业,广东,合伙企业,自然人,0.63
2014,6000,服务业,广东,农民专业合作社,企业法人,0.95
2011,1580,交通运输业,江西,集体所有制企业,企业法人,0.57
2013,6650,服务业,江西,集体所有制企业,企业法人,0.76
2014,1050,零售业,广西,农民专业合作社,企业法人,0.98
2008,9460,零售业,山东,股份有限公司,自然人,0.97
2012,7690,社区服务,江西,农民专业合作社,NA,0.77
2009,9780,工业,福建,合伙企业,企业法人,0.74
2008,4670,工业,江西,集体所有制企业,企业法人,0.9
2006,8910,交通运输业,湖北,集体所有制企业,自然人,0.7
2008,4900,零售业,广东,合伙企业,自然人,0.97
2008,830,社区服务,广东,农民专业合作社,自然人,0.78
2009,3670,零售业,江西,集体所有制企业,自然人,0.9
2010,5190,交通运输业,湖南,农民专业合作社,企业法人,0.61
2002,1940,服务业,广西,农民专业合作社,企业法人,0.79
2014,3290,社区服务,湖南,股份有限公司,企业法人,0.52
2007,9610,商业服务业,广西,有限责任公司,自然人,0.84
2008,1690,交通运输业,广西,集体所有制企业,自然人,0.56
2003,NA,服务业,广西,集体所有制企业,企业法人,0.52
2001,4900,交通运输业,湖北,集体所有制企业,企业法人,0.82
2004,1900,零售业,湖北,集体所有制企业,企业法人,0.93
2003,5520,零售业,山东,有限责任公司,自然人,0.57
2005,4440,服务业,福建,合伙企业,自然人,0.62
2003,9370,商业服务业,湖北,合伙企业,自然人,0.59
2004,3570,NA,湖南,股份有限公司,企业法人,1
2001,8570,服务业,NA,农民专业合作社,企业法人,0.57
2001,6560,零售业,福建,合伙企业,企业法人,0.61
2006,8240,服务业,福建,有限责任公司,企业法人,0.7
2003,9720,零售业,江西,农民专业合作社,自然人,0.89
2001,5240,服务业,广西,合伙企业,自然人,0.8
2002,5090,零售业,广西,合伙企业,企业法人,0.66
2003,2380,商业服务业,广西,合伙企业,企业法人,0.52
2013,7590,服务业,广东,有限责任公司,企业法人,0.71
2003,2440,交通运输业,广西,有限责任公司,企业法人,0.55
2000,820,商业服务业,福建,合伙企业,自然人,0.77
2012,8720,交通运输业,山东,有限责任公司,企业法人,0.97
2012,7760,工业,福建,合伙企业,自然人,0.74
2012,8140,服务业,湖北,合伙企业,企业法人,0.87
2000,6560,交通运输业,湖南,股份有限公司,自然人,0.73
2010,4310,工业,湖北,有限责任公司,企业法人,0.81
2002,7730,交通运输业,江西,有限责任公司,自然人,0.76
2006,2880,社区服务,湖北,集体所有制企业,自然人,0.76
2009,4520,零售业,江西,合伙企业,企业法人,0.55
2003,3450,零售业,湖北,农民专业合作社,企业法人,0.9
2001,7690,交通运输业,福建,农民专业合作社,企业法人,1
2003,7110,工业,湖北,合伙企业,自然人,0.59
2004,3620,工业,江西,集体所有制企业,企业法人,0.96
2012,2230,工业,江西,合伙企业,企业法人,0.88
2001,7180,社区服务,广西,股份有限公司,自然人,NA
2003,3030,商业服务业,广西,农民专业合作社,自然人,0.77
2002,870,交通运输业,江西,合伙企业,企业法人,0.67
2002,4830,交通运输业,湖北,股份有限公司,自然人,0.92
2011,6820,交通运输业,广西,合伙企业,企业法人,0.95
2006,7840,工业,江西,农民专业合作社,企业法人,0.56
2001,9770,零售业,广东,有限责任公司,企业法人,0.96
2006,5390,交通运输业,广东,股份有限公司,企业法人,0.55
2001,7190,社区服务,江西,集体所有制企业,自然人,0.76
2012,7540,交通运输业,湖北,农民专业合作社,企业法人,0.68
2011,6430,交通运输业,福建,合伙企业,自然人,0.76
NA,5980,商业服务业,江西,股份有限公司,自然人,0.88
2014,1260,服务业,湖南,集体所有制企业,企业法人,0.73
2005,510,商业服务业,山东,股份有限公司,企业法人,0.62
2013,9410,零售业,湖南,农民专业合作社,企业法人,0.89
2009,8720,社区服务,广东,农民专业合作社,自然人,0.77
2014,4380,社区服务,湖南,集体所有制企业,企业法人,0.89
2010,2370,工业,湖北,合伙企业,企业法人,0.93
2004,8270,交通运输业,山东,合伙企业,自然人,0.96
2001,2950,商业服务业,湖北,集体所有制企业,自然人,0.84
2004,3010,零售业,湖北,股份有限公司,自然人,0.9
2000,6190,交通运输业,山东,集体所有制企业,自然人,0.76
2007,3810,社区服务,广东,股份有限公司,自然人,0.92
2014,4360,商业服务业,福建,有限责任公司,企业法人,0.86
2005,5560,工业,江西,股份有限公司,企业法人,0.58
2003,8070,工业,福建,股份有限公司,企业法人,0.89
2005,1390,零售业,福建,股份有限公司,企业法人,0.91
2000,8290,交通运输业,湖北,集体所有制企业,自然人,0.77
2010,7360,工业,江西,合伙企业,企业法人,0.97
2007,900,交通运输业,山东,有限责任公司,自然人,0.8
2004,8090,商业服务业,湖北,农民专业合作社,自然人,0.8
2000,5370,工业,湖北,农民专业合作社,自然人,0.94
2002,9650,社区服务,湖北,合伙企业,企业法人,0.55
2001,1340,社区服务,福建,有限责任公司,自然人,0.72
2013,7010,工业,湖北,农民专业合作社,企业法人,0.52
2010,4710,服务业,湖北,有限责任公司,企业法人,0.95
2001,2190,服务业,广东,农民专业合作社,自然人,0.56
2006,5920,零售业,广东,集体所有制企业,企业法人,0.6
2006,6090,商业服务业,湖北,股份有限公司,自然人,0.85
2011,9590,服务业,湖北,合伙企业,企业法人,0.64
2013,2690,商业服务业,山东,合伙企业,自然人,0.72
2013,490,工业,山东,农民专业合作社,企业法人,0.58
2002,3510,商业服务业,广东,股份有限公司,自然人,0.64
2007,2180,交通运输业,福建,股份有限公司,自然人,0.78
2008,5990,零售业,湖北,有限责任公司,企业法人,0.64
2012,1800,商业服务业,江西,合伙企业,自然人,0.73
2014,7980,社区服务,广东,股份有限公司,企业法人,0.9
2005,8920,商业服务业,福建,合伙企业,自然人,0.75
2012,6340,服务业,江西,合伙企业,企业法人,0.54
2006,3840,社区服务,山东,农民专业合作社,企业法人,0.88
2008,9130,商业服务业,广西,合伙企业,自然人,0.85
2008,5320,服务业,广西,有限责任公司,自然人,0.86
2002,3120,交通运输业,广东,农民专业合作社,企业法人,0.67
2014,3860,商业服务业,广东,集体所有制企业,自然人,0.99
2008,360,工业,江西,股份有限公司,企业法人,0.88
2002,4560,零售业,福建,股份有限公司,自然人,0.95
2003,2030,零售业,湖北,有限责任公司,自然人,0.68
2014,7290,工业,湖南,股份有限公司,企业法人,0.82
2005,690,交通运输业,福建,有限责任公司,自然人,0.76
2009,6420,服务业,江西,合伙企业,企业法人,0.68
2002,1200,工业,福建,合伙企业,企业法人,0.58
2008,9690,商业服务业,广西,集体所有制企业,企业法人,0.54
2012,8160,商业服务业,广西,股份有限公司,企业法人,0.96
2006,2590,工业,福建,合伙企业,自然人,0.87
2012,6500,社区服务,福建,股份有限公司,企业法人,0.54
2000,8880,交通运输业,福建,股份有限公司,自然人,0.84
2009,980,交通运输业,湖南,有限责任公司,企业法人,0.73
2011,1210,零售业,江西,有限责任公司,企业法人,0.85
2011,9910,交通运输业,江西,有限责任公司,自然人,0.88
2007,660,零售业,福建,集体所有制企业,企业法人,0.74
2002,1800,零售业,湖南,农民专业合作社,自然人,0.62
2002,5460,社区服务,山东,NA,企业法人,0.61
2010,510,社区服务,湖北,集体所有制企业,NA,0.7
2005,4290,商业服务业,广东,股份有限公司,企业法人,0.87
2011,4190,零售业,湖北,股份有限公司,企业法人,0.56
2007,3100,商业服务业,湖北,股份有限公司,企业法人,0.78
2013,9720,交通运输业,湖南,有限责任公司,企业法人,0.67
2005,7100,社区服务,湖北,合伙企业,企业法人,0.93
2006,5040,服务业,福建,集体所有制企业,自然人,0.59
2014,2640,工业,福建,股份有限公司,自然人,0.74
2014,8920,零售业,广东,农民专业合作社,企业法人,0.71
2000,530,交通运输业,湖北,农民专业合作社,企业法人,0.73
2001,1940,零售业,江西,有限责任公司,企业法人,0.54
2012,5500,零售业,广西,有限责任公司,企业法人,0.7
2010,9950,交通运输业,广西,股份有限公司,企业法人,0.78
2003,1370,商业服务业,福建,农民专业合作社,自然人,0.64
2010,9060,商业服务业,湖南,有限责任公司,自然人,0.81
2006,6270,交通运输业,福建,合伙企业,企业法人,0.91
2012,3020,服务业,广西,集体所有制企业,自然人,0.94
2009,7760,零售业,山东,有限责任公司,自然人,0.95
2004,7560,商业服务业,江西,农民专业合作社,企业法人,0.94
2008,5290,商业服务业,湖北,农民专业合作社,企业法人,0.84
2008,9570,服务业,福建,农民专业合作社,自然人,0.82
2003,1700,商业服务业,山东,有限责任公司,企业法人,0.62
2004,3090,商业服务业,江西,有限责任公司,自然人,0.95
2013,8220,服务业,湖南,农民专业合作社,企业法人,0.9
2006,620,服务业,山东,有限责任公司,自然人,0.82
2012,1170,零售业,福建,农民专业合作社,自然人,0.87
2005,5340,零售业,湖南,集体所有制企业,企业法人,1
2008,5940,交通运输业,湖南,合伙企业,企业法人,0.83
2013,8420,社区服务,福建,合伙企业,企业法人,0.56
2009,390,工业,湖北,集体所有制企业,自然人,0.54
2010,9780,社区服务,福建,合伙企业,企业法人,0.71
2013,1090,商业服务业,江西,有限责任公司,企业法人,0.97
2004,7790,服务业,江西,集体所有制企业,企业法人,0.81
2000,6770,工业,广西,农民专业合作社,自然人,0.59
2003,5840,社区服务,湖南,集体所有制企业,自然人,0.83
2011,6750,NA,山东,合伙企业,自然人,0.55
2012,7940,商业服务业,山东,股份有限公司,自然人,0.95
2004,1950,服务业,广西,农民专业合作社,自然人,NA
2011,8450,社区服务,湖南,农民专业合作社,NA,0.82
2012,3780,交通运输业,江西,有限责任公司,自然人,0.78
2006,5410,交通运输业,福建,农民专业合作社,自然人,0.67
2009,6550,交通运输业,湖南,集体所有制企业,自然人,0.62
2003,1640,商业服务业,广西,合伙企业,自然人,0.96
2005,1330,社区服务,湖南,股份有限公司,自然人,0.81
2007,9480,交通运输业,福建,农民专业合作社,自然人,0.77
2002,3650,交通运输业,湖南,合伙企业,自然人,0.59
2009,4770,商业服务业,山东,农民专业合作社,企业法人,0.65
2005,3300,交通运输业,广西,农民专业合作社,自然人,0.66
2003,8640,服务业,广东,集体所有制企业,企业法人,0.97
2014,1660,社区服务,湖北,合伙企业,自然人,0.65
2003,430,社区服务,湖北,股份有限公司,自然人,0.95
2008,2780,零售业,广西,合伙企业,企业法人,0.58
2010,1130,交通运输业,山东,NA,自然人,0.85
2014,4070,商业服务业,广西,股份有限公司,自然人,0.77
2005,5100,零售业,广东,有限责任公司,企业法人,0.94
2013,9200,社区服务,山东,有限责任公司,自然人,0.93
2005,100,商业服务业,福建,有限责任公司,NA,0.87
2001,9910,交通运输业,广西,集体所有制企业,自然人,0.96
2004,6500,工业,山东,农民专业合作社,企业法人,0.52
2010,2810,社区服务,广东,股份有限公司,企业法人,0.54
2014,470,零售业,福建,股份有限公司,自然人,0.7
2013,7430,工业,山东,集体所有制企业,NA,0.9
NA,8520,社区服务,湖南,合伙企业,企业法人,0.53
2009,4770,商业服务业,山东,有限责任公司,企业法人,0.6
2010,1260,交通运输业,广东,有限责任公司,企业法人,0.51
2004,8160,社区服务,湖南,合伙企业,企业法人,0.85
2003,2620,服务业,山东,有限责任公司,企业法人,0.72
2010,970,工业,湖南,农民专业合作社,自然人,0.51
2002,2160,商业服务业,福建,有限责任公司,企业法人,0.61
2011,5670,工业,湖北,股份有限公司,自然人,0.92
2002,2200,商业服务业,广东,有限责任公司,企业法人,NA
2012,9990,服务业,山东,有限责任公司,自然人,0.63
2000,4340,零售业,广西,股份有限公司,自然人,0.53
2002,620,服务业,江西,农民专业合作社,自然人,0.95
2010,3260,服务业,广西,集体所有制企业,自然人,0.92
2009,9110,商业服务业,广西,股份有限公司,企业法人,0.83
2013,550,商业服务业,湖北,集体所有制企业,自然人,0.95
2013,1030,服务业,福建,农民专业合作社,自然人,0.87
2012,8520,社区服务,湖南,合伙企业,自然人,0.75
2002,3430,商业服务业,江西,集体所有制企业,自然人,0.73
2009,3960,零售业,江西,合伙企业,自然人,0.84
2011,4590,工业,湖南,有限责任公司,企业法人,0.75
2003,7190,交通运输业,湖北,股份有限公司,企业法人,0.58
2003,3830,工业,湖北,集体所有制企业,自然人,0.76
2005,4880,零售业,江西,有限责任公司,企业法人,0.77
2007,960,服务业,江西,股份有限公司,企业法人,0.95
2003,3300,服务业,湖北,有限责任公司,自然人,0.77
2006,9680,零售业,湖南,有限责任公司,企业法人,0.92
2005,2010,交通运输业,广西,有限责任公司,自然人,0.67
2014,580,零售业,江西,股份有限公司,自然人,0.99
2010,9710,商业服务业,福建,合伙企业,企业法人,0.88
2004,6180,工业,江西,股份有限公司,NA,0.95
2000,3510,社区服务,山东,农民专业合作社,自然人,0.79
2000,6290,商业服务业,江西,合伙企业,自然人,0.72
2001,1410,社区服务,福建,集体所有制企业,企业法人,0.65
2007,5490,零售业,湖南,集体所有制企业,自然人,0.7
2011,1880,零售业,广东,农民专业合作社,自然人,0.59
2004,7140,交通运输业,江西,股份有限公司,企业法人,0.94
2014,1030,社区服务,江西,集体所有制企业,企业法人,0.83
2007,1580,交通运输业,广东,有限责任公司,自然人,0.52
2003,9530,商业服务业,江西,集体所有制企业,自然人,0.53
2003,6290,商业服务业,山东,农民专业合作社,自然人,0.65
2009,5330,工业,山东,农民专业合作社,企业法人,0.65
2009,2780,交通运输业,江西,股份有限公司,企业法人,0.62
2002,200,社区服务,广东,有限责任公司,企业法人,0.66
2014,6850,商业服务业,湖北,农民专业合作社,企业法人,0.67
2011,1040,商业服务业,湖北,农民专业合作社,企业法人,0.6
NA,9540,工业,湖北,有限责任公司,企业法人,0.62
2010,7180,服务业,山东,有限责任公司,自然人,0.96
2014,1280,社区服务,广东,农民专业合作社,自然人,0.97
2014,5260,交通运输业,江西,有限责任公司,企业法人,0.81
2011,8660,社区服务,广西,有限责任公司,企业法人,0.99
2010,7290,零售业,江西,股份有限公司,企业法人,0.61
2014,7900,商业服务业,广东,集体所有制企业,企业法人,1
2001,8280,交通运输业,福建,有限责任公司,企业法人,0.52
2004,4860,商业服务业,广东,合伙企业,自然人,0.77
2008,5960,商业服务业,江西,合伙企业,自然人,0.87
2007,2850,交通运输业,广西,股份有限公司,自然人,0.76
2010,5310,商业服务业,湖北,农民专业合作社,自然人,0.87
2001,2790,交通运输业,江西,合伙企业,自然人,0.83
2002,3430,社区服务,福建,股份有限公司,企业法人,0.73
2005,9240,社区服务,福建,有限责任公司,企业法人,0.56
2004,910,社区服务,湖北,合伙企业,自然人,0.93
2014,1090,交通运输业,山东,集体所有制企业,自然人,0.62
2009,2150,社区服务,福建,集体所有制企业,自然人,0.63
2009,320,工业,福建,集体所有制企业,企业法人,0.96
2006,4920,NA,广西,有限责任公司,自然人,0.54
2008,6260,交通运输业,江西,有限责任公司,自然人,0.93
2005,8360,社区服务,广东,农民专业合作社,企业法人,0.98
2009,1220,零售业,湖南,有限责任公司,自然人,0.51
2008,7650,服务业,湖北,有限责任公司,企业法人,0.9
2013,7040,交通运输业,江西,农民专业合作社,企业法人,0.75
2001,4860,社区服务,山东,NA,自然人,NA
NA,5270,社区服务,山东,有限责任公司,自然人,0.84
2005,3830,工业,广西,农民专业合作社,自然人,0.97
2007,1230,服务业,山东,有限责任公司,自然人,0.55
2011,1770,商业服务业,江西,有限责任公司,企业法人,NA
2008,5020,服务业,广西,有限责任公司,企业法人,0.59
2010,340,工业,江西,集体所有制企业,NA,0.77
2010,4540,服务业,福建,有限责任公司,企业法人,0.88
2014,4050,工业,湖南,农民专业合作社,企业法人,0.89
2005,480,商业服务业,湖北,有限责任公司,自然人,0.93
2014,4910,社区服务,湖北,集体所有制企业,企业法人,0.93
2012,3120,零售业,湖北,有限责任公司,自然人,0.55
